,STUSPS,MCR_ratio
33,NV,7.828202639098851
9,FL,6.942173228529989
31,NJ,6.648684681463496
4,CA,6.3228716859953735
5,CO,6.224882689079392
43,TX,5.859156175425131
3,AZ,5.814650577819657
1,AL,5.126835692150479
16,KS,5.09675180831168
40,SC,5.006795608720296
